Win Share,
7,536C,68.498102,
8,2131X,68.317686,
9,2131E,67.656159,
10,1970K,67.175048,
11,8110X,66.814216,
12,2719D,66.333105,
13,2719B,66.212827,
14,323Y,65.791856,
15,1045A,65.370884,
16,17080A,65.310745,
17,4004X,64.228247,
18,2131W,63.626859,
19,1492W,63.446442,
20,2501J,63.386303,
21,1859X,63.205887,
22,244A,62.724777,
23,40500H,62.123389,
24,7686A,62.123389,
25,1814D,62.063250,
26,6302Y,61.882833,
27,323G,61.582139,
28,3018A,61.341584,
29,98177A,61.101029,
30,134J,60.680057,
31,1008M,60.499641,
32,500K,60.193479,
33,8110C,59.958391,
34,3815M,59.898253,
35,355E,59.477281,
36,1492X,59.116448,
37,5W,58.635338,
38,3141S,58.154227,
39,2114X,57.673117,
40,974X,57.372423,
41,4148A,57.312284,
42,2775B,57.312284,
43,4004Y,56.951451,
44,2114B,56.771035,
45,2567X,56.710896,
46,7536A,56.650757,
47,1859W,56.530479,
48,9922Z,56.169647,
49,98725B,56.169647,
50,2886B,55.808814,
51,4149C,55.628397,
52,8332A,55.327703,
53,321A,55.207426,
54,8771Y,55.147287,
55,5S,54.966870,
56,4911A,54.966870,
57,8675C,54.606038,
58,1826Z,54.305343,
59,42700A,54.185066,
60,10C,54.064788,
61,1898M,53.343123,
62,91A,53.162706,
63,77788G,53.162706,
64,7536B,52.862012,
65,1028B,52.260624,
66,25461Z,52.260624,
67,9922A,52.200485,
68,21246C,52.080208,
69,590V,51.659236,
70,624K,50.997709,
71,7422H,50.997709,
72,7776A,50.757154,
73,2501B,50.757154,
74,1115C,50.636876,
75,7232X,50.576737,
76,288C,50.516599,
77,1563C,50.396321,
78,7209C,50.215905,
79,7209X,50.095627,
80,77788J,50.095627,
81,248F,49.915211,
82,9019R,49.855072,
83,5450A,49.734794,
84,7368W,49.434100,
85,9909B,49.373961,
86,6291B,49.253684,
87,99451A,49.193545,
88,4410C,49.013128,
89,288A,48.892851,
90,1492V,48.652296,
91,404Z,48.471879,
92,4825A,48.291463,
93,12J,48.231324,
94,7133B,47.930630,
95,2360H,47.930630,
96,12G,47.870491,
97,1200Z,47.750213,
98,1028A,47.269103,
99,21246J,47.148825,
100,6891X,47.148825,
101,99905A,47.088687,
102,7776Z,47.028548,
103,8601D,46.787993,
104,7700S,46.787993,
105,311Y,46.607576,
106,4149G,46.186604,
107,41364A,46.126466,
108,5M,46.066327,
109,3815G,46.033524,
110,1933B,46.006188,
111,81N,45.946049,
112,248G,45.885910,
113,1064A,45.885910,
114,4410B,45.825772,
115,10E,45.825772,
116,6219A,45.765633,
117,916A,45.705494,
118,21000C,45.344661,
119,11950A,45.224384,
120,2587K,45.224384,
121,97371A,45.224384,
122,9922X,45.224384,
123,5300A,45.164245,
124,6844B,44.923689,
125,248A,44.683134,
126,244D,44.622995,
127,9447A,44.442579,
128,333R,44.081746,
129,6024B,43.961469,
130,134F,43.841191,
131,2398B,43.841191,
132,53A,43.299942,
133,7536D,43.299942,
134,3018V,43.179664,
135,2398K,43.135927,
136,21636A,43.119525,
137,91C,43.119525,
138,21246Z,43.119525,
139,134H,43.059386,
140,244B,42.457998,
141,2567A,42.337721,
142,2719C,42.277582,
143,91709A,41.134945,
144,80075P,41.134945,
145,53D,40.954528,
146,6793A,40.954528,
147,333E,40.894389,
148,98377F,40.413279,
149,916B,40.293001,
150,33172A,39.992307,
151,288G,39.511197,
152,9411C,39.451058,
153,98377A,39.451058,
154,2019B,39.090225,
155,7776B,38.909809,
156,9050C,38.729392,
157,1506A,38.609115,
158,687E,38.548976,
159,1341W,38.488837,
160,2567Y,38.488837,
161,4255B,38.308421,
162,624P,37.466477,
163,42368B,37.225922,
164,66099A,37.165783,
165,2477Z,36.925228,
166,4255A,36.865089,
167,6891A,36.744812,
168,98377C,36.444118,
169,4495P,35.842729,
170,1045B,35.722452,
171,12F,35.722452,
172,5450C,35.421758,
173,1563A,34.098704,
174,5829B,33.918288,
175,74624A,33.557455,
176,355V,33.404374,
177,6024E,33.136483,
178,9050D,33.076344,
179,9065C,32.956067,
180,7870E,32.114123,
181,7133A,32.053985,
182,99451B,31.633013,
Total Score,
1,13800B,122.929093,
2,6135W,120.908191,
3,8675A,113.051031,
4,1970K,109.832388,
5,2131E,102.003176,
6,202Z,101.581875,
7,8110X,100.609496,
8,536C,98.825577,
9,1859X,96.021019,
10,323Y,95.590860,
11,2131X,94.234726,
12,920C,93.944261,
13,5W,93.469138,
14,4004X,92.956097,
15,2719D,92.713903,
16,2719B,89.680131,
17,1483B,89.183550,
18,323G,88.537854,
19,1045A,87.508293,
20,2131W,87.454478,
21,1492W,87.221409,
22,2501J,86.358830,
23,3815M,86.065819,
24,8110C,85.129842,
25,40500H,83.789970,
26,1814D,82.594787,
27,7536A,81.435079,
28,244A,81.034804,
29,500K,80.869817,
30,3141S,80.447266,
31,1008M,77.464303,
32,17080A,77.289197,
33,1492X,76.992245,
34,4004Y,76.004095,
35,4149C,75.921552,
36,98725B,75.594090,
37,7686A,75.556269,
38,134J,74.003261,
39,4911A,73.982726,
40,2114X,73.840753,
41,2775B,72.391742,
42,6302Y,72.198439,
43,3018A,71.798049,
44,42700A,71.667977,
45,77788G,71.068991,
46,1859W,70.927111,
47,98177A,70.656555,
48,9922Z,68.914035,
49,355E,68.432669,
50,7422H,67.276032,
51,21246C,66.337002,
52,2114B,65.023706,
53,25461Z,64.690526,
54,4148A,64.125365,
55,1200Z,63.986170,
56,7209X,63.913925,
57,1898M,63.904507,
58,2567X,63.294275,
59,8675C,62.609184,
60,321A,61.499576,
61,8771Y,60.839365,
62,12G,60.781377,
63,1826Z,60.336771,
64,590V,59.795082,
65,7536B,59.489336,
66,5S,59.269833,
67,1115C,58.840177,
68,9922A,58.659884,
69,974X,58.155219,
70,21000C,58.074909,
71,8332A,57.819078,
72,10C,57.271160,
73,91A,56.736257,
74,2886B,55.449782,
75,5450A,54.859396,
76,288C,54.550670,
77,10E,54.002115,
78,624K,53.368198,
79,12J,53.028471,
80,1028B,51.585360,
81,7776A,51.332285,
82,1492V,51.004183,
83,4410C,50.718252,
84,6291B,50.618112,
85,7209C,50.617796,
86,99905A,49.668688,
87,248F,49.543690,
88,7776Z,48.890990,
89,9909B,48.780336,
90,1563C,48.134852,
91,6844B,47.659201,
92,2501B,47.612860,
93,3018V,47.586914,
94,99451A,47.521979,
95,4149G,47.446292,
96,41364A,46.483364,
97,77788J,46.286613,
98,333R,45.690598,
99,7368W,45.518913,
100,6024B,45.199983,
101,7232X,45.141731,
102,2360H,44.506526,
103,311Y,44.169249,
104,288A,43.641201,
105,6891X,43.429068,
106,134H,42.606340,
107,9019R,41.325059,
108,8601D,41.321323,
109,248G,41.176533,
110,21636A,41.046625,
111,21246J,40.831912,
112,1028A,40.622993,
113,7700S,39.980541,
114,916A,39.482436,
115,53D,38.875957,
116,33172A,38.850337,
117,7133B,38.145171,
118,1933B,37.658150,
119,3815G,37.558712,
120,1064A,37.471953,
121,11950A,35.881601,
122,248A,35.730170,
123,91C,35.595856,
124,5300A,35.382670,
125,404Z,34.847772,
126,134F,34.638760,
127,97371A,34.353648,
128,2587K,34.282007,
129,4410B,33.968729,
130,687E,32.405505,
131,244D,32.303257,
132,6793A,32.157031,
133,2019B,32.082135,
134,81N,31.812563,
135,288G,31.677388,
136,1045B,31.565131,
137,7536D,31.401840,
138,9447A,30.802181,
139,2719C,30.604154,
140,7776B,28.688998,
141,5M,28.523851,
142,91709A,28.253695,
143,98377F,27.830084,
144,4825A,27.455693,
145,66099A,25.752683,
146,53A,25.095230,
147,9050C,24.998795,
148,6219A,24.849506,
149,2567A,23.783195,
150,916B,23.682172,
151,1341W,23.160012,
152,4255A,22.914986,
153,244B,22.705710,
154,2567Y,22.088197,
155,2398B,21.391893,
156,98377A,20.847729,
157,9922X,20.613969,
158,2398K,20.503231,
159,624P,20.286328,
160,4255B,19.593745,
161,21246Z,19.489426,
162,98377C,18.731486,
163,9411C,18.532804,
164,80075P,17.750239,
165,42368B,13.972540,
166,99451B,13.390307,
167,6891A,12.598260,
168,7870E,12.512926,
169,2477Z,11.985566,
170,12F,10.619404,
171,5829B,10.237213,
172,1563A,9.596416,
173,3815F,9.465408,
174,6024E,8.129271,
175,4495P,5.891022,
176,5450C,5.585174,
177,355V,4.579594,
178,333E,3.221955,
179,1506A,3.041322,
180,9065C,0.241763,
181,9050D,-2.752597,
182,7133A,-6.839193,
